 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Be10_Si.txt

 Ion = Beryllium [4] , Mass = 10.0135 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.512E-01  2.445E-01     539 A       323 A       243 A   
  11.00 keV   2.634E-01  2.381E-01     593 A       348 A       262 A   
  12.00 keV   2.751E-01  2.320E-01     647 A       372 A       282 A   
  13.00 keV   2.864E-01  2.263E-01     701 A       396 A       302 A   
  14.00 keV   2.972E-01  2.209E-01     756 A       419 A       321 A   
  15.00 keV   3.076E-01  2.157E-01     810 A       442 A       340 A   
  16.00 keV   3.177E-01  2.108E-01     864 A       464 A       358 A   
  17.00 keV   3.275E-01  2.062E-01     919 A       486 A       377 A   
  18.00 keV   3.370E-01  2.018E-01     973 A       507 A       395 A   
  20.00 keV   3.552E-01  1.936E-01    1082 A       547 A       431 A   
  22.50 keV   3.837E-01  1.844E-01    1217 A       595 A       474 A   
  25.00 keV   4.089E-01  1.761E-01    1350 A       640 A       516 A   
  27.50 keV   4.317E-01  1.687E-01    1482 A       682 A       556 A   
  30.00 keV   4.527E-01  1.620E-01    1612 A       722 A       595 A   
  32.50 keV   4.724E-01  1.559E-01    1742 A       761 A       632 A   
  35.00 keV   4.914E-01  1.503E-01    1870 A       797 A       668 A   
  37.50 keV   5.098E-01  1.451E-01    1997 A       831 A       703 A   
  40.00 keV   5.278E-01  1.404E-01    2122 A       864 A       737 A   
  45.00 keV   5.630E-01  1.319E-01    2370 A       926 A       802 A   
