 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N11_Si.txt

 Ion = Nitrogen [7] , Mass = 11.0261 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.012E-01  4.940E-01     294 A       179 A       134 A   
  11.00 keV   5.257E-01  4.870E-01     321 A       192 A       143 A   
  12.00 keV   5.491E-01  4.800E-01     347 A       204 A       153 A   
  13.00 keV   5.715E-01  4.730E-01     374 A       216 A       162 A   
  14.00 keV   5.930E-01  4.661E-01     400 A       228 A       171 A   
  15.00 keV   6.139E-01  4.593E-01     426 A       239 A       181 A   
  16.00 keV   6.340E-01  4.526E-01     452 A       250 A       189 A   
  17.00 keV   6.535E-01  4.461E-01     479 A       261 A       198 A   
  18.00 keV   6.724E-01  4.398E-01     505 A       272 A       207 A   
  20.00 keV   7.088E-01  4.275E-01     557 A       292 A       224 A   
  22.50 keV   7.591E-01  4.132E-01     621 A       317 A       245 A   
  25.00 keV   8.355E-01  3.998E-01     684 A       339 A       264 A   
  27.50 keV   9.013E-01  3.873E-01     744 A       360 A       283 A   
  30.00 keV   9.572E-01  3.757E-01     804 A       379 A       301 A   
  32.50 keV   1.005E+00  3.648E-01     862 A       398 A       319 A   
  35.00 keV   1.045E+00  3.547E-01     920 A       415 A       335 A   
  37.50 keV   1.080E+00  3.451E-01     977 A       432 A       351 A   
  40.00 keV   1.111E+00  3.362E-01    1034 A       448 A       367 A   
  45.00 keV   1.163E+00  3.199E-01    1147 A       479 A       396 A   
  50.00 keV   1.207E+00  3.053E-01    1260 A       508 A       424 A   
