 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\13O_Si.txt

 Ion = Oxygen [8] , Mass = 13.0248 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.654E-01  6.405E-01     268 A       161 A       119 A   
  11.00 keV   4.881E-01  6.338E-01     292 A       173 A       127 A   
  12.00 keV   5.098E-01  6.268E-01     316 A       184 A       136 A   
  13.00 keV   5.306E-01  6.196E-01     340 A       196 A       144 A   
  14.00 keV   5.506E-01  6.124E-01     364 A       207 A       153 A   
  15.00 keV   5.699E-01  6.051E-01     388 A       217 A       161 A   
  16.00 keV   5.886E-01  5.978E-01     412 A       228 A       169 A   
  17.00 keV   6.067E-01  5.906E-01     436 A       238 A       177 A   
  18.00 keV   6.243E-01  5.835E-01     459 A       249 A       185 A   
  20.00 keV   6.581E-01  5.697E-01     507 A       268 A       201 A   
  22.50 keV   6.980E-01  5.532E-01     567 A       292 A       220 A   
  25.00 keV   7.358E-01  5.375E-01     626 A       315 A       239 A   
  27.50 keV   7.862E-01  5.227E-01     685 A       337 A       257 A   
  30.00 keV   8.393E-01  5.087E-01     742 A       358 A       275 A   
  32.50 keV   8.843E-01  4.955E-01     799 A       378 A       292 A   
  35.00 keV   9.228E-01  4.831E-01     856 A       396 A       309 A   
  37.50 keV   9.562E-01  4.713E-01     912 A       415 A       325 A   
  40.00 keV   9.856E-01  4.602E-01     968 A       432 A       341 A   
  45.00 keV   1.036E+00  4.397E-01    1079 A       466 A       371 A   
  50.00 keV   1.080E+00  4.212E-01    1190 A       498 A       401 A   
