 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\F15_Si.txt

 Ion = Fluorine [9] , Mass = 15.018 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.943E-01  7.941E-01     250 A       150 A       109 A   
  11.00 keV   4.136E-01  7.884E-01     273 A       161 A       117 A   
  12.00 keV   4.320E-01  7.820E-01     295 A       172 A       125 A   
  13.00 keV   4.496E-01  7.752E-01     318 A       183 A       133 A   
  14.00 keV   4.666E-01  7.681E-01     340 A       194 A       141 A   
  15.00 keV   4.830E-01  7.608E-01     362 A       204 A       148 A   
  16.00 keV   4.988E-01  7.534E-01     385 A       215 A       156 A   
  17.00 keV   5.142E-01  7.459E-01     407 A       225 A       163 A   
  18.00 keV   5.291E-01  7.385E-01     430 A       235 A       171 A   
  20.00 keV   5.577E-01  7.237E-01     475 A       255 A       186 A   
  22.50 keV   5.915E-01  7.057E-01     532 A       279 A       204 A   
  25.00 keV   6.235E-01  6.883E-01     588 A       302 A       222 A   
  27.50 keV   6.539E-01  6.716E-01     645 A       325 A       240 A   
  30.00 keV   6.830E-01  6.557E-01     702 A       347 A       258 A   
  32.50 keV   7.914E-01  6.405E-01     757 A       367 A       275 A   
  35.00 keV   8.724E-01  6.261E-01     810 A       386 A       292 A   
  37.50 keV   9.316E-01  6.123E-01     861 A       403 A       309 A   
  40.00 keV   9.743E-01  5.992E-01     911 A       419 A       324 A   
  45.00 keV   1.027E+00  5.748E-01    1011 A       451 A       354 A   
  50.00 keV   1.056E+00  5.526E-01    1112 A       482 A       382 A   
