 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Na22_Si.txt

 Ion = Sodium [11] , Mass = 21.991 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.962E-01  1.212E+00     217 A       119 A        85 A   
  11.00 keV   3.107E-01  1.211E+00     236 A       128 A        91 A   
  12.00 keV   3.245E-01  1.208E+00     254 A       137 A        97 A   
  13.00 keV   3.377E-01  1.204E+00     273 A       145 A       103 A   
  14.00 keV   3.505E-01  1.199E+00     292 A       154 A       109 A   
  15.00 keV   3.628E-01  1.194E+00     311 A       163 A       115 A   
  16.00 keV   3.747E-01  1.188E+00     329 A       171 A       121 A   
  17.00 keV   3.862E-01  1.181E+00     348 A       180 A       127 A   
  18.00 keV   3.974E-01  1.174E+00     367 A       188 A       133 A   
  20.00 keV   4.189E-01  1.160E+00     405 A       204 A       144 A   
  22.50 keV   4.443E-01  1.141E+00     453 A       225 A       159 A   
  25.00 keV   4.684E-01  1.121E+00     501 A       245 A       173 A   
  27.50 keV   4.912E-01  1.102E+00     550 A       265 A       187 A   
  30.00 keV   5.131E-01  1.083E+00     598 A       284 A       201 A   
  32.50 keV   5.340E-01  1.064E+00     648 A       304 A       215 A   
  35.00 keV   5.542E-01  1.046E+00     697 A       323 A       229 A   
  37.50 keV   5.736E-01  1.029E+00     746 A       342 A       243 A   
  40.00 keV   5.924E-01  1.011E+00     796 A       360 A       256 A   
  45.00 keV   6.386E-01  9.787E-01     896 A       397 A       284 A   
  50.00 keV   7.115E-01  9.481E-01     996 A       431 A       312 A   
