 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Mg23_Si.txt

 Ion = Magnesium [12] , Mass = 22.994 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.546E-01  1.341E+00     206 A       113 A        81 A   
  11.00 keV   2.670E-01  1.342E+00     224 A       122 A        87 A   
  12.00 keV   2.789E-01  1.341E+00     241 A       130 A        93 A   
  13.00 keV   2.903E-01  1.339E+00     259 A       139 A        98 A   
  14.00 keV   3.012E-01  1.336E+00     277 A       147 A       104 A   
  15.00 keV   3.118E-01  1.332E+00     294 A       155 A       110 A   
  16.00 keV   3.220E-01  1.327E+00     312 A       163 A       115 A   
  17.00 keV   3.319E-01  1.321E+00     330 A       171 A       121 A   
  18.00 keV   3.416E-01  1.315E+00     348 A       179 A       126 A   
  20.00 keV   3.600E-01  1.302E+00     384 A       195 A       137 A   
  22.50 keV   3.819E-01  1.284E+00     429 A       215 A       151 A   
  25.00 keV   4.025E-01  1.265E+00     474 A       235 A       164 A   
  27.50 keV   4.222E-01  1.246E+00     520 A       254 A       178 A   
  30.00 keV   4.410E-01  1.227E+00     566 A       273 A       191 A   
  32.50 keV   4.590E-01  1.208E+00     613 A       292 A       204 A   
  35.00 keV   4.763E-01  1.190E+00     660 A       311 A       218 A   
  37.50 keV   4.930E-01  1.172E+00     707 A       330 A       231 A   
  40.00 keV   5.092E-01  1.154E+00     755 A       348 A       244 A   
  45.00 keV   5.401E-01  1.120E+00     851 A       385 A       271 A   
  50.00 keV   6.166E-01  1.087E+00     946 A       420 A       298 A   
