 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\23Ne_Si.txt

 Ion = Neon [10] , Mass = 22.9945 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.931E-01  1.141E+00     231 A       123 A        88 A   
  11.00 keV   3.074E-01  1.138E+00     251 A       132 A        94 A   
  12.00 keV   3.211E-01  1.134E+00     272 A       141 A       101 A   
  13.00 keV   3.342E-01  1.129E+00     292 A       151 A       107 A   
  14.00 keV   3.468E-01  1.123E+00     312 A       160 A       113 A   
  15.00 keV   3.590E-01  1.116E+00     332 A       168 A       119 A   
  16.00 keV   3.708E-01  1.110E+00     353 A       177 A       126 A   
  17.00 keV   3.822E-01  1.102E+00     373 A       186 A       132 A   
  18.00 keV   3.933E-01  1.095E+00     393 A       195 A       138 A   
  20.00 keV   4.145E-01  1.079E+00     434 A       212 A       150 A   
  22.50 keV   4.397E-01  1.060E+00     486 A       233 A       165 A   
  25.00 keV   4.635E-01  1.040E+00     538 A       254 A       180 A   
  27.50 keV   4.861E-01  1.020E+00     590 A       275 A       194 A   
  30.00 keV   5.077E-01  1.001E+00     643 A       295 A       209 A   
  32.50 keV   5.284E-01  9.826E-01     696 A       315 A       223 A   
  35.00 keV   5.484E-01  9.645E-01     749 A       335 A       238 A   
  37.50 keV   5.676E-01  9.471E-01     802 A       354 A       252 A   
  40.00 keV   5.863E-01  9.302E-01     856 A       373 A       267 A   
  45.00 keV   6.218E-01  8.983E-01     964 A       411 A       295 A   
  50.00 keV   7.222E-01  8.686E-01    1070 A       446 A       324 A   
