 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\3He_Si.txt

 Ion = Helium [2] , Mass = 3.016 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.656E-01  3.399E-02     991 A       577 A       483 A   
  11.00 keV   2.790E-01  3.253E-02    1084 A       609 A       514 A   
  12.00 keV   2.925E-01  3.122E-02    1175 A       639 A       544 A   
  13.00 keV   3.061E-01  3.002E-02    1265 A       667 A       572 A   
  14.00 keV   3.197E-01  2.893E-02    1353 A       693 A       599 A   
  15.00 keV   3.333E-01  2.793E-02    1440 A       717 A       625 A   
  16.00 keV   3.469E-01  2.700E-02    1525 A       740 A       650 A   
  17.00 keV   3.602E-01  2.615E-02    1608 A       762 A       673 A   
  18.00 keV   3.734E-01  2.535E-02    1690 A       782 A       695 A   
  20.00 keV   3.992E-01  2.392E-02    1849 A       819 A       737 A   
  22.50 keV   4.302E-01  2.238E-02    2040 A       860 A       785 A   
  25.00 keV   4.600E-01  2.105E-02    2223 A       896 A       828 A   
  27.50 keV   4.886E-01  1.990E-02    2399 A       928 A       868 A   
  30.00 keV   5.161E-01  1.888E-02    2569 A       957 A       904 A   
  32.50 keV   5.426E-01  1.797E-02    2733 A       982 A       937 A   
  35.00 keV   5.681E-01  1.716E-02    2892 A      1006 A       968 A   
  37.50 keV   5.928E-01  1.643E-02    3046 A      1027 A       997 A   
  40.00 keV   6.167E-01  1.577E-02    3195 A      1047 A      1024 A   
  45.00 keV   6.622E-01  1.461E-02    3483 A      1082 A      1073 A   
