 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\5Li_Si.txt

 Ion = Lithium [3] , Mass = 5.0125 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.209E-01  9.414E-02     669 A       411 A       329 A   
  11.00 keV   3.374E-01  9.090E-02     733 A       437 A       353 A   
  12.00 keV   3.531E-01  8.790E-02     796 A       461 A       375 A   
  13.00 keV   3.679E-01  8.513E-02     858 A       485 A       397 A   
  14.00 keV   3.819E-01  8.255E-02     921 A       508 A       418 A   
  15.00 keV   3.950E-01  8.015E-02     982 A       529 A       438 A   
  16.00 keV   4.074E-01  7.791E-02    1044 A       550 A       458 A   
  17.00 keV   4.189E-01  7.581E-02    1104 A       569 A       477 A   
  18.00 keV   4.296E-01  7.384E-02    1165 A       589 A       496 A   
  20.00 keV   4.491E-01  7.025E-02    1285 A       625 A       532 A   
  22.50 keV   4.711E-01  6.629E-02    1434 A       667 A       575 A   
  25.00 keV   4.927E-01  6.283E-02    1581 A       706 A       616 A   
  27.50 keV   5.154E-01  5.976E-02    1726 A       742 A       655 A   
  30.00 keV   5.390E-01  5.703E-02    1869 A       776 A       691 A   
  32.50 keV   5.631E-01  5.458E-02    2008 A       807 A       726 A   
  35.00 keV   5.872E-01  5.236E-02    2144 A       836 A       760 A   
  37.50 keV   6.108E-01  5.034E-02    2277 A       863 A       791 A   
  40.00 keV   6.337E-01  4.849E-02    2408 A       889 A       821 A   
  45.00 keV   6.776E-01  4.523E-02    2660 A       935 A       877 A   
