 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\B8_Si.txt

 Ion = Boron [5] , Mass = 8.0246 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.582E-01  2.651E-01     394 A       242 A       186 A   
  11.00 keV   4.805E-01  2.591E-01     431 A       258 A       199 A   
  12.00 keV   5.019E-01  2.533E-01     467 A       274 A       212 A   
  13.00 keV   5.224E-01  2.478E-01     503 A       290 A       225 A   
  14.00 keV   5.421E-01  2.426E-01     539 A       304 A       238 A   
  15.00 keV   5.611E-01  2.375E-01     575 A       319 A       250 A   
  16.00 keV   5.795E-01  2.327E-01     610 A       332 A       262 A   
  17.00 keV   6.090E-01  2.281E-01     645 A       346 A       274 A   
  18.00 keV   6.385E-01  2.237E-01     680 A       358 A       285 A   
  20.00 keV   6.943E-01  2.154E-01     747 A       382 A       307 A   
  22.50 keV   7.567E-01  2.060E-01     828 A       408 A       332 A   
  25.00 keV   8.109E-01  1.975E-01     907 A       433 A       356 A   
  27.50 keV   8.580E-01  1.898E-01     984 A       455 A       378 A   
  30.00 keV   8.995E-01  1.828E-01    1059 A       476 A       399 A   
  32.50 keV   9.365E-01  1.763E-01    1134 A       496 A       419 A   
  35.00 keV   9.697E-01  1.704E-01    1207 A       514 A       439 A   
  37.50 keV   9.997E-01  1.649E-01    1280 A       532 A       457 A   
  40.00 keV   1.027E+00  1.599E-01    1352 A       549 A       475 A   
  45.00 keV   1.074E+00  1.507E-01    1495 A       581 A       508 A   
  50.00 keV   1.114E+00  1.427E-01    1637 A       610 A       540 A   
