 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\C8_Si.txt

 Ion = Carbon [6] , Mass = 8.0376 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.044E-01  3.260E-01     337 A       215 A       164 A   
  11.00 keV   5.290E-01  3.199E-01     368 A       229 A       176 A   
  12.00 keV   5.525E-01  3.139E-01     398 A       244 A       187 A   
  13.00 keV   5.751E-01  3.081E-01     429 A       257 A       198 A   
  14.00 keV   5.968E-01  3.025E-01     459 A       271 A       209 A   
  15.00 keV   6.178E-01  2.970E-01     489 A       284 A       220 A   
  16.00 keV   6.380E-01  2.917E-01     519 A       296 A       231 A   
  17.00 keV   6.774E-01  2.867E-01     549 A       308 A       241 A   
  18.00 keV   7.143E-01  2.818E-01     578 A       319 A       251 A   
  20.00 keV   7.771E-01  2.725E-01     634 A       340 A       270 A   
  22.50 keV   8.388E-01  2.618E-01     703 A       365 A       293 A   
  25.00 keV   8.872E-01  2.520E-01     770 A       387 A       314 A   
  27.50 keV   9.269E-01  2.430E-01     836 A       409 A       334 A   
  30.00 keV   9.609E-01  2.348E-01     903 A       429 A       353 A   
  32.50 keV   9.914E-01  2.271E-01     968 A       448 A       372 A   
  35.00 keV   1.019E+00  2.201E-01    1034 A       467 A       390 A   
  37.50 keV   1.045E+00  2.135E-01    1099 A       485 A       407 A   
  40.00 keV   1.070E+00  2.074E-01    1165 A       502 A       424 A   
  45.00 keV   1.115E+00  1.963E-01    1294 A       534 A       456 A   
  50.00 keV   1.157E+00  1.865E-01    1423 A       565 A       487 A   
